No,Code,Company Name,Listing Date,Shares,Listing Board
206,CHIP,Pelita Teknologi Global Tbk.,08 Feb 2023,"806,000,000",Acceleration
207,CINT,Chitose Internasional Tbk.,27 Jun 2014,"1,000,000,000",Development
208,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,"3,960,361,250",Watchlist
209,CITY,Natura City Developments Tbk.,28 Sep 2018,"5,405,188,966",Development
210,CLAY,Citra Putra Realty Tbk.,18 Jan 2019,"2,570,000,000",Watchlist
211,CLEO,Sariguna Primatirta Tbk.,05 May 2017,"12,000,000,000",Main
212,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,"306,338,500",Development
213,CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,"5,437,187,922",Main
214,CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,"17,125,504,000",Main
215,CMPP,AirAsia Indonesia Tbk.,08 Dec 1994,"10,685,124,441",Watchlist
216,CMRY,Cisarua Mountain Dairy Tbk.,06 Dec 2021,"7,934,683,000",Main
217,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,"8,956,361,206",Watchlist
218,CNMA,Nusantara Sejahtera Raya Tbk.,02 Agt 2023,"83,345,000,000",Main
219,CNTX,Century Textile Industry Tbk.,22 May 1979,"70,000,000",Watchlist
220,COAL,Black Diamond Resources Tbk.,07 Sep 2022,"6,250,000,000",Watchlist
221,COCO,Wahana Interfood Nusantara Tbk,20 Mar 2019,"889,863,981",Development
222,COWL,Cowell Development Tbk.,19 Dec 2007,"4,871,214,021",Watchlist
223,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,"16,398,000,000",Main
224,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,"2,433,379,958",Watchlist
225,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,"59,572,382,787",Development
226,CRAB,Toba Surimi Industries Tbk.,10 Agt 2022,"1,950,000,000",Development
227,CRSN,Carsurin Tbk.,10 Jul 2023,"2,892,000,000",Development
228,CSAP,Catur Sentosa Adiprana Tbk.,12 Dec 2007,"5,683,175,151",Development
229,CSIS,Cahayasakti Investindo Sukses ,10 May 2017,"1,307,000,000",Watchlist
230,CSMI,Cipta Selera Murni Tbk.,09 Apr 2020,"816,061,500",Watchlist
231,CSRA,Cisadane Sawit Raya Tbk.,09 Jan 2020,"2,050,000,000",Development
232,CTBN,Citra Tubindo Tbk.,28 Nov 1989,"800,371,500",Watchlist
233,CTRA,Ciputra Development Tbk.,28 Mar 1994,"18,535,695,255",Main
234,CTTH,Citatah Tbk.,03 Jul 1996,"1,230,839,821",Watchlist
235,CUAN,Petrindo Jaya Kreasi Tbk.,08 Mar 2023,"11,241,890,000",Main
236,CYBR,ITSEC Asia Tbk.,08 Agt 2023,"6,449,574,702",Development
237,DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,"7,431,530,800",Watchlist
238,DART,Duta Anggada Realty Tbk.,08 May 1990,"3,141,390,962",Development
239,DATA,Remala Abadi Tbk.,07 May 2024,"1,375,000,000",Development
240,DAYA,Duta Intidaya Tbk.,28 Jun 2016,"2,420,547,025",Development
241,DCII,DCI Indonesia Tbk.,06 Jan 2021,"2,383,745,900",Development
242,DEAL,Dewata Freightinternational Tb,11 Nov 2018,"1,146,170,959",Watchlist
243,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,"687,266,666",Watchlist
244,DEPO,Caturkarda Depo Bangunan Tbk.,25 Nov 2021,"6,790,000,000",Development
245,DEWA,Darma Henwa Tbk,26 Sep 2007,"21,853,733,792",Main
246,DEWI,Dewi Shri Farmindo Tbk.,18 Jul 2022,"2,000,000,000",Development
247,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,"1,899,852,850",Development
248,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Dec 2007,"5,541,165,000",Development
249,DGNS,Diagnos Laboratorium Utama Tbk,15 Jan 2021,"1,250,000,000",Development
250,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,"1,625,000,000",Watchlist
251,DILD,Intiland Development Tbk.,04 Sep 1991,"10,365,854,185",Main
252,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,"1,428,571,400",Development
253,DKFT,Central Omega Resources Tbk.,21 Nov 1997,"5,638,246,600",Development
254,DLTA,Delta Djakarta Tbk.,27 Feb 1984,"800,659,050",Main
255,DMAS,Puradelta Lestari Tbk.,29 May 2015,"48,198,111,100",Main
256,DMMX,Digital Mediatama Maxima Tbk.,21 Oct 2019,"7,692,307,700",Development
257,DMND,Diamond Food Indonesia Tbk.,22 Jan 2020,"9,468,359,000",Watchlist
258,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,"16,867,292,274",Development
259,DNET,Indoritel Makmur Internasional,11 Dec 2000,"14,184,000,000",Development
260,DOID,Delta Dunia Makmur Tbk.,15 Jun 2001,"8,198,788,432",Main
261,DOOH,Era Media Sejahtera Tbk.,08 May 2023,"7,737,559,280",Development
262,DPNS,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,"331,129,952",Development
263,DPUM,Dua Putra Utama Makmur Tbk.,08 Dec 2015,"4,175,000,000",Watchlist
264,DRMA,Dharma Polimetal Tbk.,20 Dec 2021,"4,705,882,300",Main
265,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,"1,857,135,500",Development
266,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,"10,599,842,400",Main
267,DSSA,Dian Swastatika Sentosa Tbk,10 Dec 2009,"770,552,320",Main
268,DUCK,Jaya Bersama Indo Tbk.,10 Oct 2018,"1,283,330,000",Watchlist
269,DUTI,Duta Pertiwi Tbk,02 Nov 1994,"1,850,000,000",Watchlist
270,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,"1,120,000,000",Development
271,DWGL,Dwi Guna Laksana Tbk.,13 Dec 2017,"9,252,820,991",Development
272,DYAN,Dyandra Media International Tb,25 Mar 2013,"4,272,964,279",Development
273,EAST,Eastparc Hotel Tbk.,09 Jul 2019,"4,126,405,336",Development
274,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,"1,334,333,000",Development
275,EDGE,Indointernet Tbk.,08 Feb 2021,"2,020,250,000",Development
276,EKAD,Ekadharma International Tbk.,14 Agt 1990,"3,493,875,000",Development
277,ELIT,Data Sinergitama Jaya Tbk.,06 Jan 2023,"2,031,643,057",Development
278,ELPI,Pelayaran Nasional Ekalya Purn,08 Agt 2022,"7,412,000,000",Main
279,ELSA,Elnusa Tbk.,06 Feb 2008,"7,298,500,000",Main
280,ELTY,Bakrieland Development Tbk.,30 Oct 1995,"43,521,913,019",Watchlist
281,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,"3,350,000,000",Development
282,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,"61,316,751,483",Main
283,ENAK,Champ Resto Indonesia Tbk.,08 Feb 2022,"2,166,666,800",Development
284,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,"24,821,230,250",Main
285,ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,"1,800,000,000",Watchlist
286,ENZO,Morenzo Abadi Perkasa Tbk.,14 Sep 2020,"2,162,547,122",Watchlist
287,EPAC,Megalestari Epack Sentosaraya ,01 Jul 2020,"3,303,400,000",Watchlist
288,EPMT,Enseval Putera Megatrading Tbk,01 Agt 1994,"2,708,640,000",Development
289,ERAA,Erajaya Swasembada Tbk.,14 Dec 2011,"15,950,000,000",Main
290,ERAL,Sinar Eka Selaras Tbk.,08 Agt 2023,"5,187,500,000",Main
291,ERTX,Eratex Djaja Tbk.,21 Agt 1990,"1,286,539,792",Development
292,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,"1,109,953,847",Watchlist
293,ESSA,ESSA Industries Indonesia Tbk.,01 Feb 2012,"17,226,975,700",Main
294,ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,"2,425,354,179",Development
295,ESTI,Ever Shine Tex Tbk.,13 Oct 1992,"2,015,208,720",Watchlist
296,ETWA,Eterindo Wahanatama Tbk,16 May 1997,"4,668,671,400",Watchlist
297,EURO,Estee Gold Feet Tbk.,08 Agt 2022,"2,548,826,428",Acceleration
298,EXCL,XL Axiata Tbk.,29 Sep 2005,"13,128,430,665",Main
299,FAPA,FAP Agri Tbk.,04 Jan 2021,"3,629,411,800",Development
300,FAST,Fast Food Indonesia Tbk.,11 May 1993,"3,990,277,158",Development
301,FASW,Fajar Surya Wisesa Tbk.,19 Dec 1994,"2,477,888,787",Watchlist
302,FILM,MD Pictures Tbk.,07 Agt 2018,"9,511,217,000",Main
303,FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,"400,000,975",Acceleration
304,FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,"1,475,363,179",Development
305,FISH,FKS Multi Agro Tbk.,18 Jan 2002,"480,000,000",Watchlist
306,FITT,Hotel Fitra International Tbk.,11 Jun 2019,"1,064,272,051",Development
307,FLMC,Falmaco Nonwoven Industri Tbk.,08 Jul 2021,"781,250,000",Acceleration
308,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,"6,400,000,000",Development
309,FOLK,Multi Garam Utama Tbk.,07 Agt 2023,"3,948,140,556",Development
310,FOOD,Sentra Food Indonesia Tbk.,08 Jan 2019,"650,000,000",Development
311,FORU,Fortune Indonesia Tbk,17 Jan 2002,"465,224,000",Watchlist
312,FORZ,Forza Land Indonesia Tbk.,28 Apr 2017,"1,984,009,887",Watchlist
313,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,"5,566,414,000",Development
